"incomesS","incomesW"
22679,25292
53778,43585
10530,15363
24783,26769
138308,77908
149617,81736
7733,12529
5283,9725
106051,66230
20794,23922
6631,11313
10747,15570
33744,32561
131401,75508
88797,59397
70632,51594
27537,28628
15885,20102
40133,36311
83149,57047
39769,36105
7081,11818
45235,39134
64001,48547
77173,54488
144925,80163
29448,29874
44967,38989
56828,45103
24453,26541
21218,24234
16635,20713
42175,37458
97790,63019
47277,40227
45346,39194
211764,101012
149969,81854
145290,80286
139978,78481
24024,26242
80867,56079
14381,18842
67258,50059
252396,112401
164534,86615
319934,129839
34155,32810
23560,25917
58167,45759
28827,29473
71391,51936
43859,38386
39545,35977
69615,51135
37341,34705
47937,40577
106585,66434
32319,31686
65775,49375
33487,32404
6053,10647
12752,17420
35617,33688
81223,56230
13492,18074
47366,40274
23039,25549
35873,33841
112595,68703
36804,34391
46627,39882
126553,73793
9042,13895
14393,18852
25842,27493
5459,9938
39872,36163
18776,22400
29295,29775
26598,28003
9265,14121
16166,20332
69374,51025
33720,32546
26270,27782
17418,21339
44881,38943
100860,64225
145674,80415
29318,29790
29694,30032
1475,4131
7363,12128
9735,14589
232319,106872
91189,60375
56296,44841
60003,46648
26529,27956
29633,29993
93834,61443
1244828,296385
32622,31873
16818,20860
53299,43343
24237,26391
28972,29567
25004,26921
43832,38372
63207,48174
15092,19444
37630,34874
57720,45541
124211,72955
18701,22342
109075,67380
28004,28936
110720,68001
230435,106344
5357,9815
92474,60895
27816,28812
37078,34551
125960,73581
14739,19146
107419,66752
26948,28237
17967,21771
131956,75702
51460,42408
61051,47151
14420,18876
45010,39013
16631,20710
57230,45300
14872,19259
126755,73865
54201,43798
2547,5965
13267,17877
101585,64507
47301,40240
48485,40865
34773,33183
77708,54720
36252,34065
18803,22421
91051,60318
35139,33403
135691,77004
45200,39115
47739,40472
76205,54067
12344,17053
59018,46172
46964,40061
24155,26334
35707,33742
59348,46332
44215,38581
83531,57208
111368,68244
109495,67539
31499,31175
69170,50933
7493,12270
15747,19988
27021,28286
91588,60536
12730,17400
125273,73336
5064,9453
32396,31733
30093,30287
34714,33148
33253,32261
338675,134412
68097,50444
3323,7131
51225,42287
29446,29873
34153,32809
64745,48895
20080,23391
62863,48012
56987,45181
38431,35338
36460,34188
407730,150461
130516,75196
71250,51872
5311,9758
36269,34075
117477,70510
28724,29406
159856,85105
145297,80288
56780,45079
16853,20888
7878,12685
139122,78187
70350,51467
87000,58656
24656,26682
33016,32116
25939,27559
9817,14670
52245,42809
11385,16172
39787,36115
7095,11834
315272,128686
47077,40121
12509,17201
30369,30463
98311,63225
33821,32608
13320,17923
9553,14409
15412,19711
15945,20151
51637,42499
53796,43594
115891,69927
160771,85402
31247,31017
31273,31033
68357,50563
64796,48919
80813,56056
124477,73051
43822,38366
9452,14308
19886,23245
25482,27248
4398,8602
28786,29446
23646,25978
13587,18157
455946,161035
38817,35560
6973,11698
32083,31539
17957,21764
20947,24035
107196,66667
52370,42872
80600,55965
11907,16655
40269,36389
233222,107125
19487,22943
106194,66285
19364,22850
213593,101542
121655,72034
167290,87497
13140,17764
5332,9784
17836,21669
58811,46072
30159,30329
45424,39236
7898,12706
56691,45036
12374,17080
12982,17625
148698,81430
70046,51330
21120,24163
33045,32133
103949,65423
335917,133745
24474,26556
23779,26071
22226,24967
17860,21688
53684,43537
27002,28273
29221,29727
30662,30648
15795,20027
63903,48501
59138,46231
18163,21925
91239,60395
35438,33582
32778,31969
82625,56825
277976,119200
92526,60916
3528,7422
26479,27923
16613,20695
167640,87609
41996,37359
114888,69556
12274,16989
15548,19823
13161,17783
20975,24056
31365,31091
28558,29298
54255,43824
26410,27877
53122,43254
181777,92041
41398,37025
34373,32942
57911,45634
38046,35115
33645,32501
8301,13132
95093,61948
229815,106170
80516,55929
13563,18136
151896,82494
23905,26159
70976,51749
26199,27735
2895,6500
13476,18060
40133,36312
42293,37524
37180,34611
12632,17313
117437,70496
17568,21457
7612,12399
17119,21101
11632,16402
104064,65467
76901,54370
41364,37005
93852,61450
28899,29520
42748,37776
99149,63555
120878,71752
70791,51666
105150,65885
50316,41819
16552,20646
25595,27326
26820,28152
872986,238933
14114,18614
21184,24210
14342,18809
65149,49084
12328,17038
14117,18616
36673,34314
45483,39268
34492,33014
205815,99275
47254,40215
6951,11673
33063,32144
16679,20748
17794,21636
22923,25467
22067,24853
130060,75036
17525,21424
3091,6793
30745,30701
26245,27766
94636,61765
118042,70718
49479,41384
40000,36236
173597,89494
6528,11197
33349,32320
12684,17359
10517,15351
98847,63436
305796,126320
14279,18755
57608,45485
18107,21881
242376,109665
126965,73940
339585,134631
71520,51993
57315,45342
24379,26489
32378,31723
7848,12653
756611,219048
57473,45420
12166,16891
55692,44541
21616,24526
31968,31468
50436,41881
36059,33951
11872,16623
41451,37054
286363,121375
26339,27829
53083,43234
78161,54917
9814,14667
9916,14767
2037,5134
98430,63272
49330,41307
70879,51705
48217,40724
2001722,395475
52592,42985
19083,22635
18572,22243
26909,28211
28994,29581
22550,25200
92275,60815
111890,68440
27023,28287
123920,72851
62106,47653
79184,55358
201301,97943
39791,36117
189787,94491
169273,88128
74850,53472
2156,5333
77913,54809
27309,28477
20479,23689
40026,36251
34069,32758
32806,31987
42296,37525
25193,27051
51567,42463
15239,19566
48059,40641
779627,223071
40533,36538
41145,36883
21039,24103
6977,11702
59674,46490
26428,27889
14862,19250
7915,12724
10846,15665
157934,84479
81279,56254
118809,70998
19314,22812
37030,34523
98519,63307
364770,140616
26905,28208
15816,20045
268747,116777
8384,13218
26259,27775
23624,25962
73303,52788
8572,13414
36985,34497
3514,7402
118308,70815
337303,134081
33991,32711
28887,29512
12551,17240
81409,56310
51634,42497
30484,30536
45019,39018
21885,24721
189449,94389
50902,42121
58176,45763
38153,35177
62718,47943
29057,29622
26181,27723
1263,3720
75204,53628
69655,51153
20978,24058
128037,74321
61862,47537
56600,44991
91775,60612
84450,57594
108211,67053
15771,20008
50250,41785
22297,25019
59286,46302
86896,58613
51366,42360
92834,61041
64362,48716
89042,59498
48947,41107
10478,15313
10936,15750
61299,47269
69549,51105
62372,47779
118403,70850
66021,49489
76848,54347
24627,26662
78463,55047
844737,234207
20286,23544
12141,16868
130940,75346
80457,55904
13240,17852
90078,59922
16138,20309
16183,20346
22417,25105
48919,41092
48441,40842
13966,18486
49249,41265
46500,39814
34249,32867
79205,55367
69579,51118
36797,34386
90383,60046
43134,37989
137881,77761
71684,52067
32204,31615
12429,17130
1271,3737
18568,22239
17446,21361
53813,43603
2633,6100
85547,58052
118944,71048
47327,40254
33102,32168
70342,51463
91963,60688
3089,6790
137666,77687
271697,117555
63317,48226
63947,48522
17693,21556
41858,37282
74590,53358
31192,30983
20060,23376
305981,126366
41020,36813
30890,30793
51263,42307
35343,33525
32144,31577
58071,45712
16878,20908
49987,41649
22523,25181
51505,42431
270573,117259
72210,52302
63913,48506
20540,23734
122021,72166
21151,24186
878511,239850
194294,95852
33959,32692
22764,25353
81385,56299
35924,33871
4977,9344
162220,85870
36304,34096
87117,58704
348947,136876
147604,81064
12256,16973
166974,87396
12290,17004
60613,46941
29888,30156
23625,25963
10557,15389
41468,37064
85174,57896
132731,75973
44189,38567
95994,62307
18934,22521
109457,67525
68904,50812
73021,52663
8932,13784
412079,151434
98803,63419
46798,39973
23672,25996
24813,26790
42371,37567
56582,44982
21092,24142
39580,35997
84376,57563
81612,56396
19014,22582
26881,28192
16384,20509
65141,49080
395638,147733
40488,36513
74009,53101
29657,30008
39708,36070
27265,28448
8161,12985
47130,40149
26261,27776
7538,12319
105121,65874
15552,19827
40411,36469
7168,11915
7819,12621
22073,24857
44087,38511
38126,35161
55912,44650
19830,23203
16780,20829
88390,59230
9325,14181
46511,39820
112634,68717
17330,21269
12588,17273
52559,42969
56653,45017
24456,26543
74969,53525
293361,123170
67664,50245
48853,41058
41713,37201
59432,46373
12695,17369
38288,35255
1113306,276954
56918,45147
56255,44820
4802,9123
78930,55249
1309,3811
18917,22509
61064,47157
55976,44682
159079,84852
169394,88166
86137,58298
50966,42154
70544,51555
36175,34020
26500,27938
140188,78552
37917,35040
16369,20497
137752,77716
62325,47757
38050,35117
33571,32455
14091,18593
34854,33232
15852,20075
4630,8904
72281,52334
72163,52281
82300,56688
71862,52146
83208,57071
165906,87055
19725,23123
23129,25613
98935,63471
54156,43775
5332,9784
76108,54024
51696,42528
370592,141976
50810,42074
27675,28719
12287,17001
30178,30341
48526,40887
61290,47265
35957,33891
132809,76001
81304,56265
171895,88958
28209,29070
11712,16475
122708,72414
162072,85822
59554,46431
42397,37581
8227,13054
14408,18865
20839,23956
34787,33192
75463,53741
19506,22958
102204,64748
38748,35520
54937,44166
422240,153692
3905,7945
24392,26498
5776,10320
63615,48366
12327,17037
107570,66810
109832,67666
161700,85702
122926,72493
142559,79361
50963,42152
186264,93418
32599,31859
19179,22709
49714,41507
29676,30020
93618,61356
4022,8104
17082,21072
59162,46242
5004,9378
58759,46047
78501,55063
4529,8773
262845,115210
14877,19263
61488,47359
220600,103558
17120,21102
140206,78559
10803,15624
256323,113462
91624,60551
375369,143085
279737,119659
2734,6256
30080,30278
39213,35788
34013,32724
8870,13720
2084,5211
23388,25796
60230,46757
11973,16715
18886,22485
24241,26394
28762,29431
140314,78596
26156,27706
31639,31263
105922,66181
87741,58962
36254,34066
27631,28690
10287,15129
36059,33951
367031,141145
69374,51025
39709,36071
23347,25767
97796,63022
18579,22248
104560,65658
27701,28736
11367,16155
17574,21463
60811,47036
20777,23910
55010,44202
52133,42752
40200,36349
55731,44561
93819,61437
17818,21655
23599,25944
41713,37201
7395,12164
30202,30356
55369,44381
19569,23006
377980,143689
19920,23271
105786,66129
213293,101456
149315,81636
102667,64927
36998,34504
25519,27274
35703,33740
8042,12858
50720,42027
57608,45486
467078,163413
21840,24689
223042,104254
21468,24417
9661,14516
59280,46299
17500,21404
25575,27312
37115,34573
50260,41790
29681,30023
29630,29991
60509,46891
52159,42765
22614,25246
49441,41365
24425,26521
32390,31730
128549,74502
23179,25648
8088,12907
2460,5827
109226,67437
420944,153405
30318,30430
285819,121235
54285,43840
203920,98717
57118,45245
108040,66988
98707,63381
49342,41313
133542,76257
381220,144437
46209,39658
8244,13071
65223,49118
97548,62924
15163,19503
23221,25678
83133,57040
9851,14704
94124,61560
56784,45081
25528,27280
92638,60961
80414,55885
26585,27994
41490,37076
33273,32273
4353,8544
21653,24553
64777,48910
78300,54976
173435,89443
23245,25695
111302,68219
112972,68844
9306,14161
40506,36523
9290,14146
90644,60153
24959,26890
16484,20590
11232,16030
31343,31077
25930,27553
19825,23199
7880,12686
36051,33946
70965,51744
13233,17846
22576,25218
6421,11074
19537,22981
1595861,344640
45798,39438
38505,35381
63176,48159
29814,30109
1085323,272706
75725,53856
68472,50615
83679,57270
60243,46764
25308,27130
7215,11966
28670,29371
57747,45554
62696,47933
27602,28671
20600,23779
27913,28876
29932,30184
122573,72365
77838,54777
21822,24675
152001,82529
35645,33705
38819,35562
48591,40921
18374,22089
329577,132205
14839,19231
56985,45180
11214,16012
3153,6884
132869,76022
48795,41028
22549,25199
2345,5643
76675,54272
34678,33126
53835,43614
15315,19630
29005,29588
66804,49850
58691,46014
96769,62615
14633,19056
42748,37776
64059,48574
13912,18439
51109,42228
11958,16702
174066,89641
252135,112331
137079,77484
39470,35934
55204,44299
43732,38317
35179,33427
63738,48424
67516,50177
6101,10703
31976,31473
7639,12428
359641,139411
25833,27487
131572,75568
9886,14737
291321,122649
20112,23414
19842,23212
26736,28095
50094,41704
18068,21851
47489,40340
14859,19247
86201,58325
48162,40695
97165,62772
25095,26984
31734,31322
23482,25863
21830,24681
280590,119881
15117,19464
200564,97724
144779,80113
15046,19405
111007,68108
234460,107471
13772,18318
142389,79303
71067,51790
151061,82217
127305,74061
217795,102754
15758,19997
16020,20213
29353,29812
170494,88515
21389,24360
171531,88843
83486,57189
39452,35924
98829,63429
19107,22654
210056,100515
42573,37679
4868,9207
29063,29626
169874,88319
30967,30841
128814,74596
21176,24204
81312,56268
4499,8735
211427,100914
9823,14676
13049,17684
79679,55571
128909,74630
15785,20019
19841,23211
6477,11138
27092,28333
80602,55965
18457,22154
53594,43492
157167,84229
31815,31373
3568,7479
31959,31463
9185,14039
3268,7052
39052,35695
156711,84080
129116,74703
4264,8427
45371,39208
31165,30966
28232,29085
34434,32979
16753,20808
15581,19851
242164,109606
16807,20851
7503,12281
125047,73255
249061,111495
25001,26919
262977,115245
10770,15592
13848,18384
26706,28075
32012,31496
45004,39010
40335,36426
28702,29391
82277,56678
106432,66376
60630,46949
78874,55224
57269,45320
57474,45420
152010,82532
169755,88281
30559,30583
83259,57093
14181,18671
16560,20652
226214,105154
50015,41663
234922,107600
23554,25913
31167,30967
14981,19351
118354,70832
17038,21037
286928,121521
2904,6514
18259,22000
74239,53203
30781,30723
47914,40565
100226,63977
13245,17857
31647,31268
36112,33982
25046,26950
79514,55500
141933,79148
58325,45836
111944,68459
79740,55597
36877,34434
38778,35538
466579,163307
18340,22062
49967,41638
172758,89230
155721,83755
32461,31774
65134,49077
74532,53332
15425,19721
96039,62325
27141,28366
27934,28889
29016,29595
22308,25026
20419,23644
66506,49713
673592,204118
64402,48735
111782,68399
206681,99529
27979,28919
64941,48987
15655,19912
46515,39822
26754,28107
25927,27551
28692,29385
175718,90159
66739,49820
476670,165444
17951,21759
74458,53300
69879,51254
60410,46844
59234,46277
32954,32078
55117,44255
206796,99562
23021,25536
15621,19884
19063,22620
15856,20078
27556,28640
16216,20373
2892939,494570
43025,37929
10739,15563
95660,62174
11141,15944
5980,10561
103294,65170
56440,44912
31983,31478
58559,45950
83804,57323
96491,62505
24089,26288
140162,78544
12951,17597
53915,43654
62018,47612
7278,12035
50544,41937
36406,34156
1077,3343
41419,37036
421120,153444
43565,38226
35431,33577
7042,11774
59396,46355
5101,9499
120376,71570
20778,23910
86190,58320
61482,47357
7450,12224
22214,24959
80706,56010
13338,17939
16997,21003
46060,39578
59241,46280
107304,66708
18988,22563
17433,21351
31149,30956
42414,37591
19487,22943
46909,40032
129908,74982
8184,13009
28999,29584
35082,33369
14828,19222
36910,34453
58694,46015
12624,17305
53013,43199
16080,20261
69352,51016
23153,25630
145552,80374
18622,22281
42561,37672
24517,26585
93896,61468
24198,26364
66243,49591
14279,18755
43260,38058
40664,36612
12116,16846
61013,47132
63363,48248
310234,127431
100444,64062
25181,27043
28778,29441
62291,47741
37256,34656
28913,29529
50561,41946
7875,12682
43973,38449
6104,10707
9172,14026
17276,21226
147012,80865
11595,16367
60652,46960
72031,52222
146028,80534
12877,17531
41114,36865
117920,70673
16481,20588
13741,18291
7067,11802
171714,88901
19907,23261
24846,26812
27926,28885
44273,38613
8581,13423
17676,21543
8802,13650
22150,24913
4729,9031
33858,32630
10272,15114
57858,45608
6605,11283
64485,48774
17241,21198
120298,71541
40376,36449
53215,43301
37750,34943
30984,30852
16178,20341
20108,23412
29638,29996
13151,17774
25380,27179
23223,25680
56701,45040
36739,34352
50352,41837
79327,55419
75460,53740
153664,83079
64631,48842
25864,27508
61491,47361
23499,25874
30219,30367
70949,51737
107652,66840
121477,71969
10935,15749
55202,44298
86475,58438
123461,72686
31504,31179
26207,27740
21309,24301
192952,95448
88543,59293
35309,33505
27105,28342
20075,23387
18319,22046
83224,57078
226052,105108
17568,21458
23023,25538
13271,17880
12043,16779
10129,14975
9944,14795
72700,52521
158684,84724
27846,28832
7784,12584
4665,8949
90320,60021
51317,42334
115485,69777
31925,31441
39255,35811
631,2331
67274,50067
68745,50739
89233,59576
35965,33895
86458,58431
108015,66978
30856,30771
10201,15045
95994,62307
31814,31372
25941,27560
66944,49915
7623,12411
89684,59761
34060,32753
34943,33286
103693,65324
48525,40886
8973,13825
22444,25124
47803,40506
43597,38243
60544,46908
9868,14720
77184,54493
55154,44274
72335,52358
74215,53192
129890,74976
38554,35409
55181,44288
25548,27293
20423,23647
34242,32863
6374,11020
10340,15180
22418,25106
32876,32030
59611,46459
78148,54911
49066,41169
29749,30067
33559,32448
28128,29017
28401,29196
99864,63835
10829,15649
10978,15790
27610,28676
79882,55657
52949,43166
68065,50429
15052,19410
140507,78662
37607,34860
10577,15408
36310,34099
54385,43890
14811,19207
249298,111560
27676,28720
32971,32088
7403,12172
113946,69206
6740,11437
88570,59304
16555,20648
16446,20560
21359,24338
24248,26398
49158,41217
75248,53647
45490,39272
30585,30600
41856,37280
88358,59217
49517,41404
16480,20587
7283,12041
42609,37699
23330,25755
149886,81826
34035,32738
223180,104293
25787,27456
25930,27553
28544,29289
35319,33511
167471,87555
142039,79184
5504,9993
21697,24585
27035,28295
6527,11195
45378,39211
4469,8696
12551,17240
24026,26244
35090,33374
26048,27633
63747,48428
53278,43333
23636,25971
160430,85291
15932,20140
64197,48639
19242,22757
227271,105453
10215,15059
47982,40600
25805,27468
26932,28226
94867,61857
26874,28187
55368,44381
36291,34088
37605,34859
67260,50060
52364,42869
282451,120364
10898,15714
25388,27184
19599,23028
11313,16105
5737,10274
280349,119818
27373,28520
39921,36192
10804,15625
21803,24662
41249,36941
20892,23995
25014,26928
2596,6041
164030,86453
73614,52926
3034,6709
449617,159673
51725,42543
21641,24544
31341,31076
9328,14184
88054,59092
11933,16679
39905,36182
18881,22481
28205,29067
70364,51473
57056,45215
14881,19266
137090,77488
89282,59596
5348,9803
186986,93639
31154,30959
74558,53344
11317,16109
75440,53732
55464,44428
29183,29703
118850,71013
18378,22092
13797,18339
33304,32292
3186,6932
66991,49936
48755,41006
24112,26304
22818,25392
34428,32975
51324,42338
67336,50095
87535,58877
14887,19271
49402,41345
5056,9443
14599,19028
89268,59590
11209,16008
53803,43597
91566,60528
31357,31086
104944,65806
142088,79201
96802,62628
24376,26488
83437,57168
3773,7764
76022,53986
34787,33192
43658,38276
20947,24035
31391,31108
54368,43881
50504,41916
38025,35103
36595,34267
12088,16820
20583,23766
37319,34692
49986,41648
5418,9889
46236,39673
18298,22030
31662,31277
64257,48667
9224,14079
8998,13850
122888,72479
25283,27112
2015,5096
533230,177107
84856,57764
2279,5535
22275,25003
177621,90752
98949,63476
43147,37996
29289,29772
31654,31272
11843,16596
56364,44874
114632,69461
11866,16617
34497,33017
20929,24022
116158,70025
37020,34517
95383,62064
1285,3764
93928,61481
96681,62580
23222,25679
35869,33838
42671,37733
126981,73945
26222,27750
446682,159039
39511,35958
77302,54544
11346,16136
76332,54122
47931,40573
4205,8349
41800,37249
266902,116289
32012,31495
29745,30065
51167,42257
57886,45622
63159,48151
26383,27859
13395,17989
54635,44015
39953,36209
39478,35939
75694,53843
91525,60511
69109,50905
70638,51597
203202,98505
333761,133223
39218,35791
120586,71646
190937,94839
8376,13209
72612,52481
32889,32038
60790,47026
32976,32091
133944,76397
4936,9293
8589,13431
16273,20419
47491,40341
33147,32196
36731,34348
26886,28195
4849,9183
21904,24735
16399,20522
101438,64450
3905,7944
88355,59216
58806,46070
44470,38720
135000,76764
21905,24736
46092,39595
20500,23704
27600,28670
28544,29289
150046,81879
41662,37173
127906,74274
21080,24134
19397,22875
37538,34820
144718,80093
33216,32239
261901,114958
81249,56241
17676,21543
111611,68335
21225,24240
31512,31183
118604,70923
20168,23456
4839,9170
115344,69725
40989,36795
34849,33229
24648,26676
8059,12877
10727,15551
9681,14535
14808,19205
350364,137213
15778,20014
121750,72068
5648,10168
62598,47887
24882,26837
15903,20117
57849,45603
158142,84547
22049,24840
25439,27219
34335,32919
43898,38408
95061,61935
100193,63964
133271,76162
256029,113383
33361,32327
15807,20037
67794,50305
195617,96249
2384,5705
28943,29548
21829,24681
28711,29397
58398,45871
41148,36884
10257,15100
192997,95461
51002,42173
50856,42098
81416,56313
704,2510
126089,73627
46495,39811
20279,23539
26852,28173
8273,13102
32181,31600
22633,25260
126718,73852
14391,18851
87521,58872
12997,17638
66309,49622
70806,51673
43231,38042
26767,28116
32288,31667
36167,34015
47754,40480
139853,78438
14128,18625
141992,79168
1405,3998
37136,34585
8531,13371
41486,37074
41482,37071
34557,33053
70272,51432
401446,149047
2371415,438338
7664,12455
33543,32438
200373,97667
59306,46311
110000,67730
18950,22534
47591,40394
47212,40193
18595,22260
46130,39616
26210,27742
10155,15001
32846,32011
13221,17836
12676,17352
87090,58693
47812,40510
55331,44362
9169,14024
47723,40463
50360,41842
3339,7154
26379,27856
2030,5121
24150,26330
10932,15746
2542,5957
15392,19694
11756,16516
90799,60216
38506,35381
34303,32900
13861,18395
25954,27569
30783,30725
41182,36903
42070,37400
22963,25495
24314,26445
38053,35119
505757,171506
70042,51328
19957,23298
18703,22343
49163,41220
56037,44712
9110,13964
14306,18778
18985,22561
69949,51286
45295,39167
12467,17164
65727,49352
50518,41923
33136,32189
50403,41864
151970,82519
217054,102541
92800,61027
32730,31940
27122,28353
21953,24771
57244,45307
55287,44340
124050,72897
48524,40885
29575,29955
31414,31122
17791,21633
30501,30546
155076,83543
37269,34663
106861,66539
299468,124724
57686,45524
17218,21180
41786,37242
25951,27567
4390,8592
70675,51613
29433,29864
12569,17256
75862,53916
77091,54453
8974,13826
146329,80636
104179,65512
48344,40791
63580,48350
42319,37538
39001,35666
3811,7817
13792,18335
426200,154567
31505,31179
13065,17698
30482,30534
57059,45216
8542,13382
15460,19750
31998,31487
6915,11634
26345,27833
31640,31263
44929,38969
56629,45005
32216,31622
21462,24413
7873,12679
33940,32680
11107,15912
13096,17725
48161,40694
36233,34054
135388,76899
14480,18927
225666,104999
11703,16468
124012,72884
60932,47094
26820,28152
75319,53678
21285,24284
20248,23516
11903,16652
224932,104791
15314,19629
16861,20894
93393,61266
25951,27567
61963,47585
834,2812
65978,49468
36795,34385
18547,22223
13391,17985
6325,10963
10079,14927
24914,26859
9598,14453
268670,116757
66747,49824
97995,63100
30470,30527
89905,59851
16493,20598
86188,58319
370614,141981
28973,29568
114369,69363
56715,45047
46191,39649
12514,17206
37832,34991
23473,25856
46640,39888
139873,78445
47957,40587
34001,32717
22151,24913
24347,26467
43155,38000
127980,74300
30225,30371
294007,123335
21135,24174
11922,16669
162080,85825
43310,38086
113451,69022
161836,85746
83999,57404
48792,41026
81971,56548
2829,6400
9180,14035
587563,187860
55606,44499
12403,17106
18226,21974
52101,42736
26053,27636
25243,27085
13679,18237
41220,36925
22057,24845
30721,30686
179151,91228
18364,22081
47712,40458
27646,28700
49158,41217
120080,71462
23634,25969
21938,24760
189797,94494
31037,30885
47135,40152
47491,40341
36289,34087
55995,44692
121554,71997
26162,27710
127874,74263
25282,27112
173803,89558
29502,29909
47380,40282
15539,19816
187668,93847
42412,37590
13542,18118
80092,55748
87088,58693
214657,101850
5232,9661
19546,22988
40587,36568
11814,16570
6071,10669
33324,32304
32810,31989
159354,84942
81599,56390
347001,136411
35069,33361
17837,21669
35140,33403
31995,31485
76192,54061
99752,63791
40127,36308
38473,35362
459901,161882
80141,55769
89622,59736
31175,30972
35840,33821
30844,30764
28721,29404
13651,18213
10644,15473
32561,31835
36213,34042
89548,59705
57839,45599
16788,20836
83928,57375
57811,45585
94943,61888
36267,34074
90267,59999
15134,19479
129704,74910
19359,22846
93501,61309
31729,31319
38715,35502
4716,9014
105226,65914
59569,46439
2349,5649
56547,44964
54028,43711
15110,19459
10997,15808
22880,25436
33603,32475
39804,36125
14579,19011
22914,25460
58301,45824
75056,53563
38369,35302
30375,30466
24052,26262
1334,3860
12311,17023
22416,25104
60727,46996
17396,21322
30235,30377
54197,43795
47214,40194
17050,21046
84517,57622
35303,33501
21715,24598
68962,50838
79674,55568
57505,45435
32776,31968
11970,16713
11820,16575
5064,9454
19759,23149
80829,56063
9723,14577
45639,39352
21611,24522
72362,52370
187158,93691
40392,36459
52035,42702
60254,46769
14467,18916
41627,37153
226868,105339
55505,44449
59549,46429
266438,116166
116276,70069
35987,33908
148425,81339
37881,35020
34083,32767
41523,37095
78737,55165
46442,39783
18943,22529
42804,37806
43120,37981
